index,symbol,message,timestamp_raw,timestamp_iso
1,IREN,What are you doing with CoreWeave ( $CRWV ) stock on the post-earnings decline?,,
2,IREN,"$IREN IREN ......isnt core-weave .. theres no bullshit bubble  in AI  .. the country needs more compute power centers just to keep up with china.  Will trump let china beat us in AI . Im beating NO .. iren ,cifr,hut,hive,bitf,clsk, wulf . Bullish on all of them . Bullish",2025-11-12T11:55:22Z,2025-11-12T11:55:22+00:00
3,IREN,$IREN Red again… unreal Bullish,2025-11-12T11:52:26Z,2025-11-12T11:52:26+00:00
4,IREN,$NBIS $IREN $CRWV $NVDA Can’t  wait to see the short interest for November 15th.. squeeze coming. No dount Burry Oracles aka Finacial discovery on Nov 27th is part of a master plan to cover short in Ai space while stealing shares…. Before short interest is revealed they have been balls in since October 31st. Now Cramer telling you to run from AI When inverse Cramer has arrived you know what to do. Why because online Capacity equals revenue and the big players can now recognize these huge contracts in 2026,2025-11-12T11:22:43Z,2025-11-12T11:22:43+00:00
5,IREN,"$ASST $BTC $CLSK $MSTR $IREN Warnings target 11 U.S. states for potential grid disruptions, with risks to spacecraft, radio, and navigation as well. However, as of November 12 morning, no major outages have been reported in the U.S., though utilities are on high alert with mitigation measures like grounding switches in place.",2025-11-12T11:20:55Z,2025-11-12T11:20:55+00:00
6,IREN,"$CLSK $BTC $ASST the storms a brewing electric grids could get wiped out in the future 
November 11-12, 2025. This rare sighting for mid-latitudes like Missouri (around 38°N) was triggered by a severe geomagnetic storm (rated G4 on NOAA’s scale), one of the strongest in recent years.",2025-11-12T11:20:55Z,2025-11-12T11:20:55+00:00
7,IREN,$APLD $IREN $NBIS agreed!  Citi recently jacked up their position in $IREN by 112% making them the 4th largest shareholder!,2025-11-12T10:59:37Z,2025-11-12T10:59:37+00:00
8,IREN,"$NBIS what a joke.  At the very same time the big banks’ CEOs and analysis are trying to crush the price of datacenter stocks, they are buying hundreds of millions of dollars of these same stocks as the prices fall.  

Don’t be fooled by greedy banks trying to force retail shareholders out of their shares with made up reports of an “AI bubble” so they can buy them for cheap before these stocks skyrocket next year when billions of dollars pour into datacenter companies like $APLD $NBIS and $IREN as the datacenters they are building now come into operation.  

If you want to see the truth, look at a bank’s actions - not its words.  The big banks are on a buying spree of datacenter stocks. tomshardware.com/tech-indus...",2025-11-12T10:59:37Z,2025-11-12T10:59:37+00:00
9,IREN,"$IREN This is going for a rally ride today on the bottom of this lovely Bull flag so it is time to buy the dips again. Buy above the midline, sell below. The Elliott wave is confirming here on the hourly with the TDSequential Demark just turning bullish on a 2 count & no chance of a reversal now until a 13. The Squeeze is firmly in Buy territory here after it got a shot of O2 from the McClellan up there in thin air, so now it can proceed upward with impunity, as it bounces off of the trendline with the 4 cruising past the 9 on the daily. Fib/Gann & Regression Channel all confirm. Bullish",2025-11-12T10:40:11Z,2025-11-12T10:40:11+00:00
10,IREN,$IREN We can’t even handle a premarket pump. This is ashame,2025-11-12T10:27:13Z,2025-11-12T10:27:13+00:00
11,IREN,$IREN 58.50 is your friend,2025-11-12T09:57:06Z,2025-11-12T09:57:06+00:00
12,IREN,"$NBIS what a joke.  At the very same time the big banks’ CEOs and analysis are trying to crush the price of datacenter stocks, they are buying hundreds of millions of dollars of these same stocks as the prices fall.  

Don’t be fooled by greedy banks trying to force retail shareholders out of their shares with made up reports of an “AI bubble” so they can buy them for cheap before these stocks skyrocket next year when billions of dollars pour into datacenter companies like $APLD $NBIS and $IREN as the datacenters they are building now come into operation.  

If you want to see the truth, look at a bank’s actions - not its words.  The big banks are on a buying spree of datacenter stocks. tomshardware.com/tech-indus...",2025-11-12T09:55:33Z,2025-11-12T09:55:33+00:00
13,IREN,"$IREN Bitcoin beta with ops scale. If BTC strong and IREN clears opening range high, look for +8–12%. Respect VWAP  miners can whipsaw.",2025-11-12T09:39:22Z,2025-11-12T09:39:22+00:00
14,IREN,$BURU $IREN my picks today,2025-11-12T09:21:46Z,2025-11-12T09:21:46+00:00
15,IREN,$IREN back in. The price is a gift,2025-11-12T08:45:34Z,2025-11-12T08:45:34+00:00
16,IREN,$CIFR $IREN $BE 🏬🧐🧐 📚🤓📚,2025-11-12T08:08:14Z,2025-11-12T08:08:14+00:00
17,IREN,Why would anyone block someone for being bearish on a stock? SO All u wanna see on ur feed is a bunch of dudes circle jerking each other OVER A  stock and never hearing the other point of view. Without the other point of view… ur a trash investor/trader. $NBIS $IREN $META $PLTR,2025-11-12T07:21:49Z,2025-11-12T07:21:49+00:00
18,IREN,$NBIS would cause an insane dump if it came to fruition…. Do we end up leasing from $IREN given power is the bottleneck?,2025-11-12T07:20:01Z,2025-11-12T07:20:01+00:00
19,IREN,$CIFR $CLSK $IREN companies that print money don’t lose money and issue debt. 🤡🤡🤡,2025-11-12T05:30:13Z,2025-11-12T05:30:13+00:00
20,IREN,$CIFR $CLSK $IREN what an absolute moron. Data center energy companies are PRINTING money. Bullish,2025-11-12T05:30:13Z,2025-11-12T05:30:13+00:00
21,IREN,"$CIFR $IREN is up 47cents AH. That’s up to u? 

Damn u know shit is bad when 49cents is being up after being crushed to death lol",2025-11-12T05:27:40Z,2025-11-12T05:27:40+00:00
22,IREN,$IREN already up. $60+ tomorrow $CIFR Bullish,2025-11-12T05:27:40Z,2025-11-12T05:27:40+00:00
23,IREN,$IREN Here is the video of McNallie Money's actual tour of Childress with pictures & videos of the complex: youtube.com/watch?v=9ZWA3fo... Bullish,2025-11-12T05:07:33Z,2025-11-12T05:07:33+00:00
24,IREN,$IREN Important video of Childress from McNallie Money's tour by Bryce & Anthony; it is the real deal: youtube.com/watch?v=9ZWA3fo... Bullish,2025-11-12T04:38:55Z,2025-11-12T04:38:55+00:00
25,IREN,"$IREN I’m 25,000 shares long on this one, today I also put 60 grand into $CRWV call options at 100 strike before market closed.

If we don’t see a sharp reversal tomorrow I’ll be buying even more $IREN .

Still long 10,000 shares of $NVDA but not adding or selling anything, just waiting as we slowly climb to $250 and beyond.

I am balls deep on AI infrastructure. Bears can cry about a bubble, but if that’s the case it will be the most advertised bubble in history, and the only one I’ve ever seen that was built on astronomical cash flows and world altering technology. Bullish",2025-11-12T04:37:06Z,2025-11-12T04:37:06+00:00
26,IREN,$IREN This Stock being Down -16.63% in the last Week is such a Gift. Christmas came Early People. Back Up the Brinks Truck and Trade that Useless Fiat for a Premium Wealth Creator in the Form of an Equity. I know I “Bought The Dip.” Your Future Self will Thank You! Bullish,2025-11-12T04:20:56Z,2025-11-12T04:20:56+00:00
27,IREN,"$CIFR $IREN 35%+ discount from ATH maybe more  depending on BTC.  

LT bulls or those looking to get in will take it to build on their position 👌🏼👌🏼👌🏼 Bullish",2025-11-12T03:00:43Z,2025-11-12T03:00:43+00:00
28,IREN,"$IREN From Intellectia, if you trust their analytics.",2025-11-12T02:59:12Z,2025-11-12T02:59:12+00:00
29,IREN,$BTC $IBIT $MSTR $IREN $BITX Uptrend channel.  Should hit $108K before selling back down and then continuing to $113K before crashing back down below $100K Bullish,2025-11-12T02:36:10Z,2025-11-12T02:36:10+00:00
30,IREN,$IREN ok can they like open the government  already it's been 42 days already lol Bullish,2025-11-12T02:28:08Z,2025-11-12T02:28:08+00:00
31,IREN,"$APLD $CIFR $IREN Please don’t include ASST in a post with these solid stocks
So what if I have 151 shares of asst, I still don’t like it tbh

Apld 60 by eoy
Cifr 35 by eoy
IREN 86 by eoy Bullish",2025-11-12T02:24:09Z,2025-11-12T02:24:09+00:00
32,IREN,"$ASST $WULF $CIFR $IREN $APLD IF  you hold any of these stocks then you should first congratulate yourself on finding diamonds in the rough. These are all excellent stocks that have price targets that continually increase every month. Don’t worry about these laughable day to day movements. This time next year your investment will double, triple or even quadruple.

Be patient, believe in what you’ve invested in. Infrastructure stocks are impoetant - and the demand is insane and will continue to be so. Bullish",2025-11-12T02:24:09Z,2025-11-12T02:24:09+00:00
33,IREN,$IREN already up. $60+ tomorrow $CIFR Bullish,2025-11-12T02:21:48Z,2025-11-12T02:21:48+00:00
34,IREN,"💎 LiquidTheta® Live Actionable Trade

Asset: $IREN Contracts: $IREN December 18, 2026 $60 Calls

Scale in: $23.77- $29.05
Scale out: $92.44-$158.48

Profit Potential : 171% ROI Blended

Join 💎 Here: liquidtheta.com",2025-11-12T02:10:40Z,2025-11-12T02:10:40+00:00
35,IREN,Thank u $GOOG $GOOGL UR THE GOAT.  AN AI ETF IN ONE STOCK. You tube Gemini Waymo cloud quantum etc.  u saving me from all these crashed out data center plays $NBIS $IREN $APLD,2025-11-12T01:58:42Z,2025-11-12T01:58:42+00:00
36,IREN,$IREN Youre guesswork and opinions don't meant anything with this stock my friend,2025-11-12T01:50:23Z,2025-11-12T01:50:23+00:00
37,IREN,"$IREN IREN - Possible Retest of Support

Price Targets: $74.15, $90.31

IREN is moving back and retesting the breakout trendline. Support sits at $51 near the 618 fib level.

The next target remains at $74.15 to challenge previous highs that remains resistance. After that is $90.31 at the next fib level.",2025-11-12T01:50:23Z,2025-11-12T01:50:23+00:00
38,IREN,"$IREN IREN - Possible Retest of Support

Price Targets: $74.15, $90.31

IREN is moving back and retesting the breakout trendline. Support sits at $51 near the 618 fib level.

The next target remains at $74.15 to challenge previous highs that remains resistance. After that is $90.31 at the next fib level.",2025-11-12T01:43:41Z,2025-11-12T01:43:41+00:00
39,IREN,$IREN scaling up at $50 Bullish,2025-11-12T01:43:26Z,2025-11-12T01:43:26+00:00
40,IREN,$IREN double top Bearish,2025-11-12T01:43:16Z,2025-11-12T01:43:16+00:00
41,IREN,$IREN 👀,2025-11-12T01:35:23Z,2025-11-12T01:35:23+00:00
42,IREN,$IREN bottom is in Bullish,2025-11-12T01:25:50Z,2025-11-12T01:25:50+00:00
43,IREN,$CIFR $CLSK $IREN what an absolute moron. Data center energy companies are PRINTING money. Bullish,2025-11-12T01:24:52Z,2025-11-12T01:24:52+00:00
