index,symbol,message,timestamp_raw,timestamp_iso,prob_positive,prob_negative,prob_neutral,pred_label,confidence,sentiment_signed
1,DGXX,"Community Rip is back today with @gpaisa , @JFDI , and @holdingbags !   
   
Drop your questions, charts, or tickers you want featured 👇   
 
We’ll pick a few comments to review live on today's show $SPY $QQQ",2025-11-12T15:08:11Z,2025-11-12T15:08:11+00:00,0.023421412333846092,0.03436442092061043,0.9422141313552856,neutral,0.9422141313552856,-0.010943008586764336
2,DGXX,$DGXX looking like a scam just like Bitcoin Bearish,2025-11-12T16:12:54Z,2025-11-12T16:12:54+00:00,0.03662616014480591,0.08158779889345169,0.881786048412323,neutral,0.881786048412323,-0.04496163874864578
3,DGXX,$DGXX Low volume so buy n hold. This will recover soon. Good news pending! Bullish,2025-11-12T16:09:53Z,2025-11-12T16:09:53+00:00,0.7348884344100952,0.09428336471319199,0.17082826793193817,positive,0.7348884344100952,0.6406050696969032
4,DGXX,$DGXX hard for a stock  to go up with fear news on every channel trying to short the whole AI market so the big fish can keep getting new lower lows Bullish,2025-11-12T16:00:09Z,2025-11-12T16:00:09+00:00,0.07482434064149857,0.5632132291793823,0.3619624972343445,negative,0.5632132291793823,-0.48838888853788376
5,DGXX,"💎 LiquidTheta® Live Actionable Trade

Asset: $DGXX Contracts: $DGXX June 18, 2026 $5 Calls

Scale in: $1.67- $2.04
Scale out: $6.48-$11.10

Profit Potential : 302% ROI Blended

Join 💎 Here: liquidtheta.com",2025-11-12T15:58:22Z,2025-11-12T15:58:22+00:00,0.04422413930296898,0.019121617078781128,0.936654269695282,neutral,0.936654269695282,0.02510252222418785
6,DGXX,$DGXX marrying a stock screwed me again zz.. sub 200m mc its crazy,2025-11-12T15:54:44Z,2025-11-12T15:54:44+00:00,0.06319265812635422,0.1942799687385559,0.7425273656845093,neutral,0.7425273656845093,-0.1310873106122017
7,DGXX,"$DGXX Another shit show. If it goes up after earnings, it will go back to the 5's and everyone will be hung ho on that! Bullish",2025-11-12T15:43:34Z,2025-11-12T15:43:34+00:00,0.13756684958934784,0.6629840135574341,0.1994490772485733,negative,0.6629840135574341,-0.5254171639680862
8,DGXX,$DGXX told yall was incoming 🔥🔥🔥🔥🔥🔥🔥🔥,2025-11-12T15:40:01Z,2025-11-12T15:40:01+00:00,0.12882329523563385,0.04988275095820427,0.8212939500808716,neutral,0.8212939500808716,0.07894054427742958
9,DGXX,"$DGXX Did think 3's could come, didn't think it would only take 100 down on the nasdaq to do it.  Wish it wasn't in conjunction with my other holdings all falling so it would be an easier add. Bullish",2025-11-12T15:39:31Z,2025-11-12T15:39:31+00:00,0.10376252979040146,0.08002576231956482,0.8162117600440979,neutral,0.8162117600440979,0.02373676747083664
10,DGXX,$DGXX this week has been a disaster Bullish,2025-11-12T15:39:07Z,2025-11-12T15:39:07+00:00,0.04484858363866806,0.8891953825950623,0.06595607101917267,negative,0.8891953825950623,-0.8443467989563942
11,DGXX,$DGXX earnings call is at 8:30AM on 11/14 as per yahoo finance.,2025-11-12T15:38:22Z,2025-11-12T15:38:22+00:00,0.01774308830499649,0.05228663608431816,0.9299702644348145,neutral,0.9299702644348145,-0.03454354777932167
12,DGXX,$DGXX,2025-11-12T15:34:02Z,2025-11-12T15:34:02+00:00,0.054548703134059906,0.04094851016998291,0.904502809047699,neutral,0.904502809047699,0.013600192964076996
